Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-12-07,31440.0,96.51,-0.090907792,77.0,30794.428571428572,31041.833333333332,96.92142857142858
2018-12-10,31895.0,97.22,-0.08586875,48.0,31029.0,31047.333333333332,96.98428571428572
2018-12-11,31812.0,97.39,-0.162274138,58.0,31261.285714285714,31050.233333333334,97.00142857142858
2018-12-12,31626.0,97.04,-0.005551667,60.0,31381.14285714286,31050.066666666666,97.00142857142858
2018-12-13,31414.0,97.06,-0.049193333,75.0,31445.428571428572,31037.766666666666,97.01428571428572
2018-12-14,31437.0,97.44,0.024259155,71.0,31518.428571428572,31027.766666666666,97.06714285714285
2018-12-17,31501.0,97.1,-0.072672581,62.0,31589.285714285714,31018.366666666665,97.10857142857142
2018-12-18,31075.0,97.1,-0.102646575,73.0,31537.14285714286,30998.966666666667,97.19285714285715
2018-12-19,31139.0,97.03,-0.021621951,82.0,31429.14285714286,30983.533333333333,97.1657142857143
2018-12-20,31219.0,96.28,0.035544578,83.0,31344.428571428572,30977.233333333334,97.00714285714287
2018-12-21,31126.0,96.96,0.018219403,67.0,31273.0,30980.666666666668,96.99571428571427
2018-12-24,31375.0,96.55,-0.128973684,19.0,31267.428571428572,30992.7,96.92285714285715
2018-12-26,31463.0,97.05,-0.010356522,23.0,31271.14285714286,31015.533333333333,96.86714285714285
2018-12-27,31611.0,96.48,0.056332609,46.0,31286.85714285714,31041.3,96.77857142857144
2018-12-28,31506.0,96.4,5.2381e-05,42.0,31348.428571428572,31063.8,96.67857142857143
2018-12-31,31489.0,96.17,-0.01288,15.0,31398.428571428572,31079.533333333333,96.5557142857143
2019-01-01,31560.0,96.17,-0.0783875,24.0,31447.14285714286,31101.933333333334,96.53999999999999
2019-01-02,31934.0,96.82,-0.039877273,44.0,31562.571428571428,31138.733333333334,96.52000000000001
2019-01-03,31939.0,96.31,-0.170549057,53.0,31643.14285714286,31175.4,96.48571428571428
2019-01-04,31679.0,96.18,-0.083385965,57.0,31674.0,31210.933333333334,96.36142857142856
2019-01-07,31652.0,95.67,-0.011366071,56.0,31679.85714285714,31248.9,96.24571428571429
2019-01-08,31736.0,95.9,0.098676744,43.0,31712.714285714286,31287.633333333335,96.17428571428572
2019-01-09,31993.0,95.22,-0.071564179,67.0,31784.714285714286,31339.966666666667,96.03857142857143
2019-01-10,31878.0,95.54,-0.023922549,102.0,31830.14285714286,31387.333333333332,95.94857142857143
2019-01-11,31924.0,95.67,-0.049920896,67.0,31828.714285714286,31443.033333333333,95.78428571428572
2019-01-14,32130.0,95.61,-0.042181967,61.0,31856.0,31507.833333333332,95.6842857142857
2019-01-15,32169.0,96.04,0.082046575,73.0,31926.0,31553.9,95.66428571428571
2019-01-16,32272.0,96.06,-0.023071831,71.0,32014.571428571428,31597.5,95.72
2019-01-17,32253.0,96.06,0.030581159,69.0,32088.428571428572,31641.733333333334,95.74285714285715
2019-01-18,32089.0,96.34,-0.044679412,68.0,32102.14285714286,31677.866666666665,95.90285714285714
2019-01-21,32039.0,96.34,-0.077145763,59.0,32125.14285714286,31697.833333333332,96.01714285714286
2019-01-22,32154.0,96.3,-0.01692619,84.0,32158.0,31706.466666666667,96.10714285714286
2019-01-23,32135.0,96.12,-0.059292857,84.0,32158.714285714286,31717.233333333334,96.18000000000002
2019-01-24,32016.0,96.6,-0.008130864,81.0,32136.85714285714,31730.233333333334,96.25999999999999
2019-01-25,32339.0,95.79,0.03676338,71.0,32146.428571428572,31761.066666666666,96.22142857142858
2019-01-28,32536.0,95.75,-0.065493023,86.0,32186.85714285714,31797.7,96.17714285714285
2019-01-29,32891.0,95.82,0.014983333,72.0,32301.428571428572,31844.033333333333,96.10285714285713
2019-01-30,32903.0,95.34,0.011605556,72.0,32424.85714285714,31904.966666666667,95.96000000000001
2019-01-31,33100.0,95.58,0.036411607,112.0,32560.0,31970.333333333332,95.85714285714286
2019-02-01,33405.0,95.58,0.043349206,63.0,32741.428571428572,32043.2,95.77999999999999
2019-02-04,33455.0,95.85,0.007925,68.0,32947.0,32120.833333333332,95.67285714285713
2019-02-05,33381.0,96.07,-0.003954412,68.0,33095.857142857145,32187.7,95.71285714285715
2019-02-06,33222.0,96.39,0.025076119,67.0,33193.857142857145,32246.333333333332,95.80428571428571
2019-02-07,33056.0,96.51,-0.042566667,84.0,33217.42857142857,32294.5,95.90285714285714
2019-02-08,33125.0,96.64,-0.069118421,38.0,33249.142857142855,32348.466666666667,96.08857142857143
2019-02-11,32931.0,97.06,0.046101887,53.0,33225.0,32396.533333333333,96.29999999999998
2019-02-12,32747.0,96.71,0.091457895,76.0,33131.0,32436.1,96.46142857142857
2019-02-13,32909.0,97.13,0.066977528,89.0,33053.0,32468.6,96.64428571428572
2019-02-14,32970.0,96.98,-0.010002326,86.0,32994.28571428572,32502.966666666667,96.77428571428571
2019-02-15,33263.0,96.9,0.003405333,75.0,33000.142857142855,32555.766666666666,96.84714285714286
2019-02-18,33463.0,96.9,-0.017294595,37.0,33058.28571428572,32616.133333333335,96.90285714285713
2019-02-19,33753.0,96.52,-0.04649375,80.0,33148.0,32683.366666666665,96.88571428571429
2019-02-20,33719.0,96.45,-0.049983099,71.0,33260.57142857143,32740.9,96.79857142857144
2019-02-21,33302.0,96.61,-0.045882716,81.0,33339.857142857145,32788.36666666667,96.78428571428572
2019-02-22,33369.0,96.51,-0.019229091,55.0,33405.57142857143,32836.53333333333,96.69571428571429
2019-02-25,33159.0,96.41,-0.067531944,72.0,33432.57142857143,32870.833333333336,96.61428571428571
2019-02-26,33228.0,96.0,-0.052351163,86.0,33427.57142857143,32906.13333333333,96.4857142857143
2019-02-27,33171.0,96.15,0.059101299,77.0,33385.857142857145,32936.1,96.37857142857142
